response,condition,morph
2,conspecificApproach,yellow
1,conspecificApproach,yellow
5,conspecificApproach,yellow
6,conspecificApproach,yellow
3,conspecificApproach,yellow
1,conspecificApproach,yellow
8,conspecificApproach,yellow
8,conspecificApproach,yellow
5,conspecificApproach,yellow
4,conspecificApproach,yellow
4,conspecificApproach,yellow
3,heterospecificApproach,red
6,heterospecificApproach,red
0,heterospecificApproach,red
1,heterospecificApproach,red
2,heterospecificApproach,red
1,heterospecificApproach,red
0,heterospecificApproach,red
3,heterospecificApproach,red
1,heterospecificApproach,red
0,heterospecificApproach,red
0,heterospecificApproach,red
0,heterospecificApproach,red
3,heterospecificApproach,red
1,heterospecificApproach,red
5,heterospecificApproach,red
5,heterospecificApproach,red
3,heterospecificApproach,red
1,heterospecificApproach,red
3,heterospecificApproach,red
1,heterospecificApproach,red
0,heterospecificApproach,red
0,heterospecificApproach,red
8,heterospecificApproach,red
2,heterospecificApproach,red
0,heterospecificApproach,red
2,heterospecificApproach,red
0,heterospecificApproach,red
0,heterospecificApproach,red
1,heterospecificApproach,red
7,heterospecificApproach,red
1,heterospecificApproach,red
2,heterospecificApproach,red
6,heterospecificApproach,red
2,heterospecificApproach,red
0,heterospecificApproach,red
0,heterospecificApproach,red
0,heterospecificApproach,red
3,heterospecificApproach,red
2,heterospecificApproach,red
0,heterospecificApproach,red
1,heterospecificApproach,red
0,heterospecificApproach,red
1,heterospecificApproach,red
1,heterospecificApproach,red
0,heterospecificApproach,red
0,heterospecificApproach,red
0,heterospecificApproach,red
0,heterospecificApproach,red
1,heterospecificApproach,yellow
1,heterospecificApproach,yellow
2,heterospecificApproach,yellow
0,heterospecificApproach,yellow
0,heterospecificApproach,yellow
2,heterospecificApproach,yellow
0,heterospecificApproach,yellow
1,heterospecificApproach,yellow
0,heterospecificApproach,yellow
0,heterospecificApproach,yellow
0,heterospecificApproach,yellow
0,heterospecificApproach,yellow
4,heterospecificApproach,yellow
0,heterospecificApproach,yellow
0,heterospecificApproach,yellow
0,heterospecificApproach,yellow
3,heterospecificApproach,yellow
2,heterospecificApproach,yellow
1,heterospecificApproach,yellow
7,heterospecificApproach,yellow
4,heterospecificApproach,yellow
0,heterospecificApproach,yellow
0,heterospecificApproach,yellow
0,heterospecificApproach,yellow
0,heterospecificApproach,yellow
10,heterospecificApproach,yellow
2,heterospecificApproach,yellow
0,heterospecificApproach,yellow
1,heterospecificApproach,yellow
2,heterospecificApproach,yellow
1,heterospecificApproach,yellow
0,heterospecificApproach,yellow
1,heterospecificApproach,yellow
0,heterospecificApproach,yellow
2,heterospecificApproach,yellow
0,heterospecificApproach,yellow
1,heterospecificApproach,yellow
1,heterospecificApproach,yellow
0,heterospecificApproach,yellow
0,heterospecificApproach,yellow
3,heterospecificApproach,yellow
1,heterospecificApproach,yellow
1,heterospecificApproach,yellow
0,heterospecificApproach,yellow
0,heterospecificApproach,yellow
2,heterospecificApproach,yellow
0,heterospecificApproach,yellow
0,heterospecificApproach,yellow
0,conspecificPassby,red
1,conspecificPassby,red
1,conspecificPassby,red
5,conspecificPassby,red
3,conspecificPassby,red
1,conspecificPassby,red
3,conspecificPassby,red
10,conspecificPassby,red
2,conspecificPassby,red
5,conspecificPassby,red
3,conspecificPassby,red
0,conspecificPassby,red
2,conspecificPassby,red
1,conspecificPassby,red
1,conspecificPassby,red
0,conspecificPassby,red
5,conspecificPassby,red
0,conspecificPassby,red
11,conspecificPassby,red
9,conspecificPassby,red
1,conspecificPassby,red
9,conspecificPassby,red
10,conspecificPassby,red
19,conspecificPassby,red
13,conspecificPassby,red
4,conspecificPassby,red
4,conspecificPassby,red
2,conspecificPassby,red
0,conspecificPassby,red
0,conspecificPassby,red
0,conspecificPassby,red
0,conspecificPassby,red
6,conspecificPassby,red
6,conspecificPassby,red
0,conspecificPassby,red
